location,star,name,competitors,counts
北京,3,喆啡酒店(北京昌平东关地铁大学城店),"全季酒店(北京八一电影制片厂店),和颐酒店(北京石景山万达广场店),北京南站亚朵酒店,桔子酒店(北京三里屯太古里店)","2,1,1,1"
北京,3,麗枫酒店(北京工业大学店),,
北京,2,速8精选酒店(北京天安门前门西河沿店),,
北京,3,北京世纪黄山酒店,如家酒店(北京传媒大学西门店),1
北京,5,北京铂斯雅致酒店,"北京石景山游乐园希尔顿欢朋酒店,全季酒店(北京八一电影制片厂店),如家精选酒店(北京农展长虹桥店),如家酒店(北京传媒大学西门店),汉庭酒店(北京良乡大学城店)","3,2,1,1,1"
北京,4,北京锡华商务酒店,"和颐酒店(北京石景山万达广场店),北京和平里旅居酒店,锦江之星(北京珠市口店),汉庭酒店(北京良乡大学城店)","2,1,1,1"
北京,2,色彩酒店(北京国展二店),,
北京,3,雅悦精致酒店(北京官园桥金融街店),"桔子酒店(北京三里屯太古里店),如家酒店(北京传媒大学西门店),雅悦酒店(北京西直门店),7天连锁酒店(北京西站北广场店),全季酒店(北京八一电影制片厂店),北京和平里旅居酒店,汉庭酒店(北京良乡大学城店)","11,3,1,1,1,1,1"
北京,2,速8酒店(北京南沙窝桥302医院店),"汉庭酒店(北京良乡大学城店),7天连锁酒店(北京西站北广场店),如家酒店(北京传媒大学西门店)","17,2,1"
北京,5,北京中航泊悦酒店,,
北京,4,汉普顿国际酒店(北京首都机场店),全季酒店(北京八一电影制片厂店),1
北京,3,美朋·轻奢酒店(北京石榴庄店),7天连锁酒店(北京西站北广场店),1
北京,2,速8酒店(北京方庄地铁站店),"海友酒店(北京昌平府学路店),如家酒店(北京传媒大学西门店),汉庭酒店(北京良乡大学城店)","3,2,1"
北京,4,北京实茂花园酒店,"北京总部基地亚朵酒店,如家酒店(北京传媒大学西门店)","4,1"
北京,2,北京巴比伦宾馆,"如家酒店(北京传媒大学西门店),汉庭酒店(北京良乡大学城店)","2,1"
北京,3,飘HOME连锁酒店(北京天安门前门大栅栏店),"如家酒店(北京传媒大学西门店),喆啡酒店(北京传媒大学双桥地铁站万达广场店),汉庭酒店(北京良乡大学城店),速8酒店(北京方庄地铁站店),宜必思酒店(北京天坛东门地铁站店),锦江之星(北京珠市口店)","3,3,3,2,1,1"
北京,3,麗枫酒店(北京大兴新城地铁站店),,
北京,4,桔子水晶北京崇文门酒店,"桔子酒店(北京三里屯太古里店),秋果酒店(北京新国展首都机场店),全季酒店(北京八一电影制片厂店),喆啡酒店(北京传媒大学双桥地铁站万达广场店),北京南站亚朵酒店,北京贝尔特酒店,北京石景山游乐园希尔顿欢朋酒店","13,2,1,1,1,1,1"
北京,4,桔子水晶北京王府井大街酒店,"桔子酒店(北京三里屯太古里店),全季酒店(北京八一电影制片厂店),北京石景山游乐园希尔顿欢朋酒店,秋果酒店(北京新国展首都机场店),如家酒店(北京传媒大学西门店)","12,2,2,1,1"
北京,3,桔子酒店(北京丽泽商务区天坛医院店),,
北京,2,汉庭酒店(北京花乡天坛医院新店),,
