location,star,name,competitors,counts
北京,4,桔子水晶北京南站木樨园酒店,"桔子酒店,桔子水晶木樨园,如家","3,1,1"
北京,5,北京瑞海姆田园度假村,"汉庭酒店,汉庭","1,1"
北京,5,北京歌华开元大酒店,"安贞,如家,汉庭,桔子酒店,桔子","6,2,1,1,1"
北京,5,北京东直门雅辰悦居酒店,"京伦饭店,希尔顿,金陵饭店","1,1,1"
北京,5,北京千禧大酒店,"瑰丽,全季,如家,北京瑰丽酒店,北京瑰丽,亚朵,汉庭,希尔顿","4,3,3,2,2,2,2,1"
北京,3,桔子酒店(北京昌平地铁站科技园店),,
北京,4,丽呈秋果酒店(北京方庄地铁站店),"亚朵,桔子水晶,桔子,汉庭,如家","2,1,1,1,1"
北京,5,北京兴基铂尔曼饭店,"如家,全季,希尔顿,全季酒店,7天","2,2,1,1,1"
北京,2,北京寄航洲际酒店,"全季酒店,全季,希尔顿","1,1,1"
北京,2,飘HOME连锁酒店(北京国展和平里店),"锦江之星,如家,7天,安贞,全季酒店,全季,秋果,汉庭","2,2,1,1,1,1,1,1"
北京,4,秋果酒店(北京站同仁医院崇文门地铁站店),"贝尔特,桔子,全季,如家,汉庭,桔子水晶,北京贝尔特,丽晶,桔子酒店,喆啡,7天,希尔顿","5,5,3,3,2,2,1,1,1,1,1,1"
北京,2,家美世界城酒店公寓(北京世贸天阶店),如家,1
北京,4,格兰云天·阅酒店(北京奥宇店),,
北京,3,北京建国门CBD亚朵轻居酒店,"如家,7天,汉庭,锦江之星,全季,旅居,亚朵S,希尔顿,麗枫","6,4,2,2,2,1,1,1,1"
北京,3,瑞尔威连锁饭店(北京西客站店),"如家,7天,7天连锁酒店,7天连锁,和颐","2,2,1,1,1"
北京,4,东方圣达文化酒店(北京南锣鼓巷步行街店),"如家,如家精选,速8,如家酒店,花筑,漫心","3,1,1,1,1,1"
北京,5,北京好苑建国酒店,,
北京,3,时光漫步怀旧主题酒店(北京天安门广场店),如家,2
北京,2,北京兴化路宾馆,"安贞,如家","3,3"
北京,5,北京蔓兰酒店,"亚朵,如家","1,1"
北京,2,七巧屋酒店(北京草桥地铁站店),"海友,亚朵,如家,格林豪泰,海友酒店,西铁营","3,1,1,1,1,1"
北京,2,格林豪泰(北京回龙观平西府地铁站店),,
北京,3,柏曼酒店(北京黄村西大街地铁站店),喆啡,1
北京,3,麗枫酒店(北京通州环球果园地铁站店),全季,1
北京,2,北京柚米寓酒店,,
北京,2,乐盟酒店(北京南锣鼓巷店),如家,1
北京,2,7天连锁酒店(北京鸟巢店),"锦江之星,速8,优品","1,1,1"
