名称	入住日期	出行目的	评分	评论文本	shortTexts	score	shortTexts-negative	score-negative
北京首都机场精选酒店	2020/9/1	商务出差	4.7	免费机场接送	['免费机场接送']	[0.00331507]	[]	[]
北京首都机场精选酒店	2020/7/1	其他	4	房间木屑味比较大	['房间木屑味比较大']	[0.526845]	['房间木屑味比较大']	[0.526845]
北京首都机场精选酒店	2021/6/1	其他	3.5	还行……………	['还行']	[0.0613437]	[]	[]
北京首都机场精选酒店	2019/8/1	家庭亲子	3.5	最大的优点离机场近，酒店一早安排车子送人去机场，挺方便。	"['最大的优点离机场近', '酒店一早安排车子送人去机场', '挺方便']"	"[0.0175955, 0.0457227, 0.00426638]"	[]	[]
北京首都机场精选酒店	2020/10/1	朋友出游	1	无话可说了	['无话可说了']	[0.957495]	['无话可说了']	[0.957495]
北京首都机场精选酒店	2020/9/1	商务出差	4.2	离酒店比较近	['离酒店比较近']	[0.022965]	[]	[]
北京首都机场精选酒店	2020/3/1	商务出差	4	距离机场近，有院子，停车方便	"['有院子', '停车方便', '距离机场近']"	"[0.0138381, 0.0100908, 0.0122391]"	[]	[]
北京首都机场精选酒店	2019/9/1	家庭亲子	4	位置方便，还给升级了有窗的房间，免费接送，转机中转不错	"['位置方便', '免费接送', '转机中转不错', '还给升级了有窗的房间']"	"[0.0109168, 0.00646195, 0.0205569, 0.028257]"	[]	[]
北京首都机场精选酒店	2019/9/1	其他	4	不错 挺好的环境 没有电梯 但是有人随时帮忙抬行李 挺好	"['挺好', '挺好的环境', '不错', '没有电梯', '但是有人随时帮忙抬行李']"	"[0.00122581, 0.00316588, 0.00130619, 0.625854, 0.101168]"	['没有电梯']	[0.625854]
北京首都机场精选酒店	2019/9/1	家庭亲子	4.5	门店卫生，接送机服务都挺好，就是地方不好找，导航找不到。	"['就是地方不好找', '导航找不到', '门店卫生', '接送机服务都挺好']"	"[0.0345526, 0.990984, 0.415573, 0.00347152]"	['导航找不到']	[0.990984]
北京首都机场精选酒店	2019/12/1	商务出差	4.5	凌晨两点才下飞机，有师傅接机，服务好	"['有师傅接机', '服务好', '凌晨两点才下飞机']"	"[0.00983946, 0.0154092, 0.839631]"	['凌晨两点才下飞机']	[0.839631]
北京首都机场精选酒店	2019/11/1	其他	3	机场附近的都这样，没什么好坏。能够休息就行	"['没什么好坏', '能够休息就行', '机场附近的都这样']"	"[0.833223, 0.00923691, 0.515237]"	"['没什么好坏', '机场附近的都这样']"	"[0.833223, 0.515237]"
北京首都机场精选酒店	2019/11/1	独自旅行	4.2	总体体验比较好，价格也合理，还能接送机，好评	"['好评', '总体体验比较好', '价格也合理', '还能接送机']"	"[0.000209886, 0.019459, 0.000160956, 0.012557]"	[]	[]
北京首都机场精选酒店	2020/10/1	情侣出游	4	位置挺好的	['位置挺好的']	[0.0238777]	[]	[]
北京首都机场精选酒店	2019/12/1	朋友出游	4	冬天取暖用空调，噪音大效果不好。	"['冬天取暖用空调', '噪音大效果不好']"	"[0.22902, 0.99972]"	['噪音大效果不好']	[0.99972]
